Tourism industry,GVA ($b)
Education and training,1.452
Ownership of dwellings,1.222
"Air, water and other passenger transport",0.693
"Cafes, restaurants and takeaway food services",0.585
Travel agency and information centre services,0.56
Other retail trade,0.46
Accommodation,0.412
All other industries,0.238
"Clubs, pubs, taverns and bars",0.217
Taxi transport,0.131
Transport equipment rental,0.114
Other road passenger transport,0.111
Sports and recreation services,0.084
Rail passenger transport,0.067
Cultural services,0.052
Casinos and other gambling services,0.039
Automotive fuel retailing,-0.029
