StationID,Lat,Lon,Rainfall_mm
1006,-15.51,128.15,0.0
1007,-13.75,126.15,0.0
1019,-14.3,126.65,0.0
1020,-14.09,126.39,0.0
1024,-15.96,127.06,0.0
1025,-15.38,126.31,0.0
1035,-15.6,128.28,0.0
2009,-16.42,126.44,0.2
2021,-18.39,126.99,0.2
2022,-18.02,126.3,0.2
2030,-17.3,126.92,0.0
2036,-17.39,126.23,0.0
2043,-18.34,126.12,0.2
2051,-19.56,127.67,0.0
2053,-17.61,126.74,0.2
2056,-15.78,128.71,0.0
2064,-16.64,128.45,0.0
2068,-17.07,126.85,0.2
2072,-17.28,127.46,0.2
2073,-18.62,126.88,0.4
2074,-18.2,127.49,0.0
2077,-16.92,126.55,0.2
2078,-18.83,126.53,0.0
2079,-18.23,127.67,0.0
3003,-17.95,122.24,0.6
3030,-18.68,121.78,0.0
3032,-17.37,123.66,0.0
3051,-16.74,125.91,0.4
3057,-16.45,123.01,0.0
3063,-16.72,125.46,0.0
3080,-17.58,123.83,0.0
3093,-18.18,125.56,0.0
3094,-17.42,124.92,0.2
3098,-17.05,125.71,0.4
3099,-17.75,125.38,0.0
3101,-18.51,123.47,0.2
4004,-20.93,120.21,0.0
4006,-22.18,119.94,0.2
4019,-19.74,120.84,13.0
4028,-20.11,119.58,0.0
4032,-20.37,118.63,0.4
4083,-20.71,116.77,18.0
4086,-20.9,117.64,22.5
4090,-20.76,117.16,9.6
4106,-21.18,119.75,0.0
5001,-21.8,117.81,17.5
5006,-22.91,116.29,27.4
5007,-22.24,114.1,39.8
5008,-21.19,115.98,37.4
5013,-22.0,115.05,40.5
5014,-21.79,117.86,20.8
5017,-21.67,115.11,32.4
5022,-21.98,116.07,29.8
5029,-21.68,116.39,34.6
5034,-22.46,116.05,28.0
5051,-21.93,114.13,58.0
5066,-22.78,115.37,52.0
5084,-21.46,115.02,35.0
5094,-20.87,115.41,35.8
5095,-22.94,116.97,26.0
5098,-22.3,118.45,7.8
6005,-24.82,113.79,14.1
6010,-25.61,115.46,12.0
6011,-24.89,113.67,20.2
6022,-25.05,115.21,15.2
6045,-26.7,113.72,44.3
6052,-23.86,115.15,32.6
6055,-27.75,115.83,47.6
6066,-23.16,114.54,26.0
6069,-26.59,115.93,18.5
6070,-24.31,114.5,10.5
6099,-26.9,115.96,31.6
6102,-26.18,113.21,40.2
6104,-24.03,115.69,25.4
6105,-25.89,113.58,9.8
6111,-25.31,115.15,10.8
6112,-24.62,115.33,15.6
7001,-26.97,117.9,21.4
7007,-26.98,116.54,34.8
7008,-25.51,118.8,36.2
7014,-27.25,117.65,36.6
7017,-27.43,117.89,26.0
7019,-24.0,119.57,17.0
7037,-28.56,117.78,34.7
7045,-26.61,118.54,22.8
7059,-24.23,118.24,41.4
7064,-27.36,116.43,29.4
7068,-29.43,117.29,99.3
7083,-23.62,118.66,25.0
7096,-27.98,116.03,64.4
7103,-25.48,119.65,29.4
7129,-27.8,116.89,55.0
7139,-29.27,117.68,80.2
7176,-23.42,119.8,10.8
7177,-23.6,117.69,22.2
7179,-24.41,118.94,24.6
7185,-23.17,117.75,20.4
7197,-28.28,118.31,53.2
7207,-25.13,116.94,18.8
7208,-24.31,116.91,4.8
7209,-24.2,116.48,41.6
7210,-24.63,116.95,26.6
7211,-25.27,116.22,14.6
7212,-24.61,117.65,43.0
7600,-28.12,117.84,38.4
8002,-30.6,116.77,95.8
8005,-30.73,116.02,108.6
8008,-30.58,116.14,114.6
8013,-29.33,116.14,102.6
8025,-29.69,115.89,50.2
8028,-28.5,114.79,134.4
8037,-29.88,116.02,97.5
8050,-28.78,114.61,62.4
8052,-28.17,114.76,103.8
8057,-29.55,115.07,129.8
8060,-29.04,115.55,126.0
8061,-30.28,116.63,39.2
8066,-30.7,117.06,86.6
8072,-29.76,116.44,100.6
8079,-29.07,115.63,85.0
8087,-30.42,116.46,91.7
8088,-29.19,115.44,127.0
